[dotenv@17.2.3] injecting env (2) from .env -- tip: ⚙️  load multiple .env files with { path: ['.env.local', '.env'] }
✅ Server running on port 3000
✅ MongoDB connected
[2025-12-30T15:49:04.681Z] POST /api/auth/register
[2025-12-30T15:49:04.943Z] POST /api/auth/login
[2025-12-30T15:49:05.127Z] GET /api/boards/my
[2025-12-30T15:51:35.954Z] OPTIONS /api/auth/login
[2025-12-30T15:51:35.958Z] POST /api/auth/login
[2025-12-30T15:51:36.336Z] OPTIONS /api/boards/my
[2025-12-30T15:51:36.342Z] GET /api/boards/my
[2025-12-30T15:51:36.543Z] GET /api/boards/my
[2025-12-30T15:51:36.754Z] GET /api/boards/my
[2025-12-30T15:51:36.957Z] GET /api/boards/my
[2025-12-30T15:51:37.156Z] GET /api/boards/my
[2025-12-30T15:51:37.385Z] GET /api/boards/my
[2025-12-30T15:51:37.570Z] GET /api/boards/my
[2025-12-30T15:51:37.775Z] GET /api/boards/my
[2025-12-30T15:51:37.986Z] GET /api/boards/my
[2025-12-30T15:51:38.187Z] GET /api/boards/my
[2025-12-30T15:51:38.393Z] GET /api/boards/my
[2025-12-30T15:51:38.600Z] GET /api/boards/my
[2025-12-30T15:51:38.814Z] GET /api/boards/my
[2025-12-30T15:51:39.023Z] GET /api/boards/my
[2025-12-30T15:51:39.217Z] GET /api/boards/my
[2025-12-30T15:51:39.426Z] GET /api/boards/my
[2025-12-30T15:51:39.646Z] GET /api/boards/my
[2025-12-30T15:51:39.844Z] GET /api/boards/my
[2025-12-30T15:51:40.067Z] GET /api/boards/my
[2025-12-30T15:51:40.229Z] GET /api/boards/my
[2025-12-30T15:51:40.454Z] GET /api/boards/my
[2025-12-30T15:51:40.676Z] GET /api/boards/my
[2025-12-30T15:51:40.868Z] GET /api/boards/my
[2025-12-30T15:51:41.068Z] GET /api/boards/my
[2025-12-30T15:51:41.282Z] GET /api/boards/my
[2025-12-30T15:51:41.473Z] OPTIONS /api/boards/my
[2025-12-30T15:51:41.481Z] GET /api/boards/my
[2025-12-30T15:51:41.684Z] GET /api/boards/my
[2025-12-30T15:51:41.894Z] GET /api/boards/my
[2025-12-30T15:51:42.124Z] GET /api/boards/my
[2025-12-30T15:51:42.317Z] GET /api/boards/my
[2025-12-30T15:51:42.521Z] GET /api/boards/my
[2025-12-30T15:51:42.724Z] GET /api/boards/my
[2025-12-30T15:51:42.927Z] GET /api/boards/my
[2025-12-30T15:51:43.138Z] GET /api/boards/my
[2025-12-30T15:51:43.346Z] GET /api/boards/my
[2025-12-30T15:51:43.564Z] GET /api/boards/my
[2025-12-30T15:51:43.754Z] GET /api/boards/my
[2025-12-30T15:51:43.961Z] GET /api/boards/my
[2025-12-30T15:51:44.145Z] GET /api/boards/my
[2025-12-30T15:51:44.353Z] GET /api/boards/my
[2025-12-30T15:51:44.574Z] GET /api/boards/my
[2025-12-30T15:51:44.769Z] GET /api/boards/my
[2025-12-30T15:51:44.972Z] GET /api/boards/my
[2025-12-30T15:51:45.180Z] GET /api/boards/my
[2025-12-30T15:51:45.393Z] GET /api/boards/my
[2025-12-30T15:51:45.609Z] GET /api/boards/my
[2025-12-30T15:51:45.811Z] GET /api/boards/my
[2025-12-30T15:51:46.020Z] GET /api/boards/my
[2025-12-30T15:51:46.227Z] GET /api/boards/my
[2025-12-30T15:51:46.420Z] GET /api/boards/my
[2025-12-30T15:51:46.634Z] OPTIONS /api/boards/my
[2025-12-30T15:51:46.637Z] GET /api/boards/my
[2025-12-30T15:51:46.836Z] GET /api/boards/my
[2025-12-30T15:51:47.043Z] GET /api/boards/my
[2025-12-30T15:51:47.266Z] GET /api/boards/my
[2025-12-30T15:51:47.461Z] GET /api/boards/my
[2025-12-30T15:51:47.677Z] GET /api/boards/my
[2025-12-30T15:51:47.872Z] GET /api/boards/my
[2025-12-30T15:51:48.083Z] GET /api/boards/my
[2025-12-30T15:51:48.282Z] GET /api/boards/my
[2025-12-30T15:51:48.493Z] GET /api/boards/my
[2025-12-30T15:51:48.710Z] GET /api/boards/my
[2025-12-30T15:51:48.936Z] GET /api/boards/my
[2025-12-30T15:51:49.135Z] GET /api/boards/my
[2025-12-30T15:51:49.321Z] GET /api/boards/my
[2025-12-30T15:51:49.521Z] GET /api/boards/my
[2025-12-30T15:51:49.737Z] GET /api/boards/my
[2025-12-30T15:51:49.948Z] GET /api/boards/my
[2025-12-30T15:51:50.136Z] GET /api/boards/my
[2025-12-30T15:51:50.352Z] GET /api/boards/my
[2025-12-30T15:51:50.569Z] GET /api/boards/my
[2025-12-30T15:51:50.773Z] GET /api/boards/my
[2025-12-30T15:51:50.989Z] GET /api/boards/my
[2025-12-30T15:51:51.171Z] GET /api/boards/my
[2025-12-30T15:51:51.393Z] GET /api/boards/my
[2025-12-30T15:51:51.587Z] GET /api/boards/my
[2025-12-30T15:51:51.810Z] OPTIONS /api/boards/my
[2025-12-30T15:51:51.812Z] GET /api/boards/my
[2025-12-30T15:51:52.032Z] GET /api/boards/my
[2025-12-30T15:51:52.212Z] GET /api/boards/my
[2025-12-30T15:51:52.429Z] GET /api/boards/my
[2025-12-30T15:51:52.629Z] GET /api/boards/my
[2025-12-30T15:51:52.833Z] GET /api/boards/my
[2025-12-30T15:51:53.063Z] GET /api/boards/my
[2025-12-30T15:51:53.251Z] GET /api/boards/my
[2025-12-30T15:51:53.471Z] GET /api/boards/my
[2025-12-30T15:51:53.669Z] GET /api/boards/my
[2025-12-30T15:51:53.870Z] GET /api/boards/my
[2025-12-30T15:51:54.090Z] GET /api/boards/my
[2025-12-30T15:51:54.282Z] GET /api/boards/my
[2025-12-30T15:51:54.485Z] GET /api/boards/my
[2025-12-30T15:51:54.683Z] GET /api/boards/my
[2025-12-30T15:51:54.907Z] GET /api/boards/my
[2025-12-30T15:51:55.127Z] GET /api/boards/my
[2025-12-30T15:51:55.313Z] GET /api/boards/my
[2025-12-30T15:51:55.528Z] GET /api/boards/my
[2025-12-30T15:51:55.723Z] GET /api/boards/my
[2025-12-30T15:51:55.934Z] GET /api/boards/my
[2025-12-30T15:51:56.140Z] GET /api/boards/my
[2025-12-30T15:51:56.344Z] GET /api/boards/my
[2025-12-30T15:51:56.549Z] GET /api/boards/my
[2025-12-30T15:51:56.762Z] GET /api/boards/my
[2025-12-30T15:51:56.978Z] OPTIONS /api/boards/my
[2025-12-30T15:51:56.980Z] GET /api/boards/my
[2025-12-30T15:51:57.182Z] GET /api/boards/my
[2025-12-30T15:51:57.383Z] GET /api/boards/my
[2025-12-30T15:51:57.594Z] GET /api/boards/my
[2025-12-30T15:51:57.782Z] GET /api/boards/my
[2025-12-30T15:51:58.001Z] GET /api/boards/my
[2025-12-30T15:51:58.207Z] GET /api/boards/my
[2025-12-30T15:51:58.404Z] GET /api/boards/my
[2025-12-30T15:51:58.615Z] GET /api/boards/my
[2025-12-30T15:51:58.828Z] GET /api/boards/my
[2025-12-30T15:51:59.037Z] GET /api/boards/my
[2025-12-30T15:51:59.234Z] GET /api/boards/my
[2025-12-30T15:51:59.446Z] GET /api/boards/my
[2025-12-30T15:51:59.662Z] GET /api/boards/my
[2025-12-30T15:51:59.861Z] GET /api/boards/my
[2025-12-30T15:52:00.072Z] GET /api/boards/my
[2025-12-30T15:52:00.289Z] GET /api/boards/my
[2025-12-30T15:52:00.467Z] GET /api/boards/my
[2025-12-30T15:52:00.688Z] GET /api/boards/my
[2025-12-30T15:52:00.873Z] GET /api/boards/my
[2025-12-30T15:52:01.085Z] GET /api/boards/my
[2025-12-30T15:52:01.285Z] GET /api/boards/my
[2025-12-30T15:52:01.492Z] GET /api/boards/my
[2025-12-30T15:52:01.696Z] GET /api/boards/my
[2025-12-30T15:52:01.895Z] GET /api/boards/my
[2025-12-30T15:52:02.101Z] OPTIONS /api/boards/my
[2025-12-30T15:52:02.104Z] GET /api/boards/my
[2025-12-30T15:52:02.297Z] GET /api/boards/my
[2025-12-30T15:52:02.512Z] GET /api/boards/my
[2025-12-30T15:52:02.729Z] GET /api/boards/my
[2025-12-30T15:52:02.928Z] GET /api/boards/my
[2025-12-30T15:52:03.143Z] GET /api/boards/my
[2025-12-30T15:52:03.337Z] GET /api/boards/my
[2025-12-30T15:52:03.545Z] GET /api/boards/my
[2025-12-30T15:52:03.761Z] GET /api/boards/my
[2025-12-30T15:52:03.949Z] GET /api/boards/my
[2025-12-30T15:52:04.157Z] GET /api/boards/my
[2025-12-30T15:52:04.363Z] GET /api/boards/my
[2025-12-30T15:52:04.571Z] GET /api/boards/my
[2025-12-30T15:52:04.784Z] GET /api/boards/my
[2025-12-30T15:52:04.980Z] GET /api/boards/my
[2025-12-30T15:52:05.203Z] GET /api/boards/my
[2025-12-30T15:52:05.400Z] GET /api/boards/my
[2025-12-30T15:52:05.608Z] GET /api/boards/my
[2025-12-30T15:52:05.820Z] GET /api/boards/my
[2025-12-30T15:52:06.024Z] GET /api/boards/my
[2025-12-30T15:52:06.236Z] GET /api/boards/my
[2025-12-30T15:52:06.430Z] GET /api/boards/my
[2025-12-30T15:52:06.646Z] GET /api/boards/my
[2025-12-30T15:52:06.849Z] GET /api/boards/my
[2025-12-30T15:52:07.039Z] GET /api/boards/my
[2025-12-30T15:52:07.248Z] OPTIONS /api/boards/my
[2025-12-30T15:52:07.251Z] GET /api/boards/my
[2025-12-30T15:52:07.460Z] GET /api/boards/my
[2025-12-30T15:52:07.678Z] GET /api/boards/my
[2025-12-30T15:52:07.881Z] GET /api/boards/my
[2025-12-30T15:52:08.077Z] GET /api/boards/my
[2025-12-30T15:52:08.296Z] GET /api/boards/my
[2025-12-30T15:52:08.502Z] GET /api/boards/my
[2025-12-30T15:52:08.711Z] GET /api/boards/my
[2025-12-30T15:52:08.918Z] GET /api/boards/my
[2025-12-30T15:52:09.114Z] GET /api/boards/my
[2025-12-30T15:52:09.332Z] GET /api/boards/my
[2025-12-30T15:52:09.567Z] GET /api/boards/my
[2025-12-30T15:52:09.756Z] GET /api/boards/my
[2025-12-30T15:52:09.962Z] GET /api/boards/my
[2025-12-30T15:52:10.172Z] GET /api/boards/my
[2025-12-30T15:52:10.362Z] GET /api/boards/my
[2025-12-30T15:52:10.571Z] GET /api/boards/my
[2025-12-30T15:52:10.793Z] GET /api/boards/my
[2025-12-30T15:52:11.013Z] GET /api/boards/my
[2025-12-30T15:52:11.196Z] GET /api/boards/my
[2025-12-30T15:52:11.405Z] GET /api/boards/my
[2025-12-30T15:52:11.620Z] GET /api/boards/my
[2025-12-30T15:52:11.813Z] GET /api/boards/my
[2025-12-30T15:52:12.037Z] GET /api/boards/my
[2025-12-30T15:52:12.231Z] GET /api/boards/my
[2025-12-30T15:52:12.449Z] OPTIONS /api/boards/my
[2025-12-30T15:52:12.451Z] GET /api/boards/my
[2025-12-30T15:52:12.648Z] GET /api/boards/my
[2025-12-30T15:52:12.863Z] GET /api/boards/my
[2025-12-30T15:52:13.082Z] GET /api/boards/my
[2025-12-30T15:52:13.266Z] GET /api/boards/my
[2025-12-30T15:52:13.466Z] GET /api/boards/my
[2025-12-30T15:52:13.670Z] GET /api/boards/my
[2025-12-30T15:52:13.880Z] GET /api/boards/my
[2025-12-30T15:52:14.103Z] GET /api/boards/my
[2025-12-30T15:52:14.292Z] GET /api/boards/my
[2025-12-30T15:52:14.510Z] GET /api/boards/my
[2025-12-30T15:52:14.705Z] GET /api/boards/my
[2025-12-30T15:52:14.905Z] GET /api/boards/my
[2025-12-30T15:52:15.275Z] GET /api/boards/my
[2025-12-30T15:52:15.425Z] GET /api/boards/my
[2025-12-30T15:52:15.634Z] GET /api/boards/my
[2025-12-30T15:52:15.843Z] GET /api/boards/my
[2025-12-30T15:52:16.063Z] GET /api/boards/my
[2025-12-30T15:52:16.260Z] GET /api/boards/my
[2025-12-30T15:52:16.473Z] GET /api/boards/my
[2025-12-30T15:52:16.679Z] GET /api/boards/my
[2025-12-30T15:52:16.936Z] GET /api/boards/my
[2025-12-30T15:52:17.094Z] GET /api/boards/my
[2025-12-30T15:52:17.299Z] GET /api/boards/my
[2025-12-30T15:52:17.520Z] OPTIONS /api/boards/my
[2025-12-30T15:52:17.523Z] GET /api/boards/my
[2025-12-30T15:52:17.736Z] GET /api/boards/my
[2025-12-30T15:52:17.925Z] GET /api/boards/my
[2025-12-30T15:52:18.144Z] GET /api/boards/my
[2025-12-30T15:52:18.332Z] GET /api/boards/my
[2025-12-30T15:52:18.545Z] GET /api/boards/my
[2025-12-30T15:52:18.769Z] GET /api/boards/my
[2025-12-30T15:52:18.950Z] GET /api/boards/my
[2025-12-30T15:52:19.169Z] GET /api/boards/my
[2025-12-30T15:52:19.366Z] GET /api/boards/my
[2025-12-30T15:52:19.579Z] GET /api/boards/my
[2025-12-30T15:52:19.793Z] GET /api/boards/my
[2025-12-30T15:52:19.984Z] GET /api/boards/my
[2025-12-30T15:52:20.187Z] GET /api/boards/my
[2025-12-30T15:52:20.396Z] GET /api/boards/my
[2025-12-30T15:52:20.610Z] GET /api/boards/my
[2025-12-30T15:52:20.833Z] GET /api/boards/my
[2025-12-30T15:52:21.029Z] GET /api/boards/my
[2025-12-30T15:52:21.235Z] GET /api/boards/my
[2025-12-30T15:52:21.424Z] GET /api/boards/my
[2025-12-30T15:52:21.639Z] GET /api/boards/my
[2025-12-30T15:52:21.865Z] GET /api/boards/my
[2025-12-30T15:52:22.053Z] GET /api/boards/my
[2025-12-30T15:52:22.265Z] GET /api/boards/my
[2025-12-30T15:52:22.462Z] GET /api/boards/my
[2025-12-30T15:52:22.679Z] OPTIONS /api/boards/my
[2025-12-30T15:52:22.682Z] GET /api/boards/my
[2025-12-30T15:52:22.902Z] GET /api/boards/my
[2025-12-30T15:52:23.078Z] GET /api/boards/my
[2025-12-30T15:52:23.284Z] GET /api/boards/my
[2025-12-30T15:52:23.489Z] GET /api/boards/my
[2025-12-30T15:52:23.714Z] GET /api/boards/my
[2025-12-30T15:52:23.926Z] GET /api/boards/my
[2025-12-30T15:52:24.112Z] GET /api/boards/my
[2025-12-30T15:52:24.327Z] GET /api/boards/my
[2025-12-30T15:52:24.530Z] GET /api/boards/my
[2025-12-30T15:52:24.728Z] GET /api/boards/my
[2025-12-30T15:52:24.964Z] GET /api/boards/my
[2025-12-30T15:52:25.152Z] GET /api/boards/my
[2025-12-30T15:52:25.354Z] GET /api/boards/my
[2025-12-30T15:52:25.558Z] GET /api/boards/my
[2025-12-30T15:52:25.766Z] GET /api/boards/my
[2025-12-30T15:52:25.975Z] GET /api/boards/my
